id,milestone,title,owner_role,priority,dependency_gates,spec_sections,deliverable_acceptance,status,evidence,source_ids,acceptance_test_ids,source_urls,test_family_candidates
N043,M3,Implement static prediction groups with scoped dependencies,Gameplay,P0,M2,"12,17",Whole authorized group admitted or denied; platform scope/history is not silently omitted,Not started,Proposed engineering task,S17,,https://docs.unity3d.com/Packages/com.unity.netcode@1.5/manual/prediction-details.html,T023;T024;T025;T026;T027;T028;T029;T030;T031;T032;T033;T034;T035;T036;T037;T038;T039;T040;T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N063,M3,Implement persistent semantic state on scope re-entry,Engine,P0,M2,"10,15,17","Test effect reconstructs from full current state under a new scope epoch, without old start RPCs",Not started,Proposed engineering task,S41,,https://www.riotgames.com/en/news/demolishing-wallhacks-valorants-fog-war,T041;T042;T043;T044;T045;T046;T047;T048;T058;T059;T060;T061;T062;T063;T064;T065;T066;T067;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N096,M3,Integrate graph scopes with replay dependency retention,Gameplay,P0,M2,"9,12,17",Leaving render interest preserves budgeted replay samples; revoked dependencies invalidate prediction safely,Not started,Derived library implementation of selected Epic Replication Graph basis,,,,T023;T024;T025;T026;T027;T028;T029;T030;T031;T032;T033;T034;T035;T036;T037;T038;T039;T040;T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N097,M3,Run spatial prediction impaired-network vertical slice,QA,P0,M2,"9,12,17,22",Separated clients platform dependency loss/re-entry and denied hidden actor tests pass in real processes,Not started,Derived library implementation of selected Epic Replication Graph basis,,T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157,,T023;T024;T025;T026;T027;T028;T029;T030;T031;T032;T033;T034;T035;T036;T037;T038;T039;T040;T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N098,M3,Build per-connection interest inspector,Engine,P0,M2,"17,20",Explains candidate reasons authorized field set scope epoch version dormancy and budget deferrals without client secrets,Not started,Derived library implementation of selected Epic Replication Graph basis,,,,T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T102;T103;T104;T105;T106;T107;T108;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N037,M4,Implement moving/rotating base prediction,Gameplay,P1,M3,11,Rider replay uses historical base pose and inherits dismount velocity once,Not started,Proposed engineering task,S08,,https://dev.epicgames.com/documentation/en-us/unreal-engine/understanding-networked-movement-in-the-character-movement-component-for-unreal-engine,T049;T050;T051;T052;T053;T054;T055;T056;T057
N038,M4,Implement ability state machines,Gameplay,P1,M3,13,Dash charge stamina cooldown and stun are checkpointed and replayable,Not started,Proposed engineering task,S11,,https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/GameplayAbilities/FPredictionKey,T041;T042;T043;T044;T045;T046;T047;T048
N039,M4,Implement deterministic event journal,Engine,P1,M3,13,Accepted replay does not duplicate VFX; rejected reversible effects cancel,Not started,Proposed engineering task,S11,,https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/GameplayAbilities/FPredictionKey,T041;T042;T043;T044;T045;T046;T047;T048
N040,M4,Implement stable predicted spawn binding,Runtime,P1,M3,15,Acceptance binds by action key; delayed acceptance cannot resurrect old visual,Not started,Proposed engineering task,,,,T058;T059;T060;T061;T062;T063;T064;T065;T066;T067
N042,M4,Implement ownership handoff,Runtime,P1,M3,15,Old owner is rejected after effective tick; new owner gets full checkpoint,Not started,Proposed engineering task,,,,T058;T059;T060;T061;T062;T063;T064;T065;T066;T067
N044,M4,Implement deterministic root-motion source,Gameplay,P1,M3,13,Movement curve phase matches server independently of rendered animation,Not started,Proposed engineering task,S08,,https://dev.epicgames.com/documentation/en-us/unreal-engine/understanding-networked-movement-in-the-character-movement-component-for-unreal-engine,T041;T042;T043;T044;T045;T046;T047;T048
N045,M4,Implement remote collision proxy policy,Gameplay,P1,M3,11,Collision reads no delayed render transforms; crowding tests characterize errors,Not started,Proposed engineering task,,,,T049;T050;T051;T052;T053;T054;T055;T056;T057
N099,M4,Integrate event audiences attachments and region absence state,Gameplay,P1,M3,"13,15,17",Hidden sources remain undisclosed; parent scopes resolve by identity; destroyed map props do not reappear after region entry,Not started,Derived library implementation of selected Epic Replication Graph basis,,,,T041;T042;T043;T044;T045;T046;T047;T048;T058;T059;T060;T061;T062;T063;T064;T065;T066;T067;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N046,M5,Implement server combat poses,Gameplay,P1,M4,14,Headless hitboxes update on declared ticks and match chosen collision rig,Not started,Proposed engineering task,S03,,https://raw.githubusercontent.com/ValveSoftware/source-sdk-2013/master/src/game/server/player_lagcompensation.cpp,T068;T069;T070;T071;T072;T073;T074;T075;T076;T077;T078;T079;T080;T081;T082
N047,M5,Implement immutable hit-history query world,Runtime,P1,M4,14,Concurrent historical queries cannot mutate live gameplay state,Not started,Proposed engineering task,S03,,https://raw.githubusercontent.com/ValveSoftware/source-sdk-2013/master/src/game/server/player_lagcompensation.cpp,T068;T069;T070;T071;T072;T073;T074;T075;T076;T077;T078;T079;T080;T081;T082
N048,M5,Implement timestamp bounds and rewind cap,Runtime,P1,M4,14,Untrusted view times cannot exceed policy or subtract RTT twice,Not started,Proposed engineering task,,,,T068;T069;T070;T071;T072;T073;T074;T075;T076;T077;T078;T079;T080;T081;T082
N049,M5,Implement authoritative hitscan transactions,Gameplay,P1,M4,14,Origin ammo cooldown eligibility range and damage are computed by server,Not started,Proposed engineering task,,,,T068;T069;T070;T071;T072;T073;T074;T075;T076;T077;T078;T079;T080;T081;T082
N050,M5,Implement defense/cover boundary policy,Gameplay,P1,M4,14,Shield door teleport and death-at-shot-boundary tests match ADR-07,Not started,Proposed engineering task,,,,T068;T069;T070;T071;T072;T073;T074;T075;T076;T077;T078;T079;T080;T081;T082
N051,M5,Implement deterministic simultaneous damage,Gameplay,P1,M4,"8,14",Connection iteration order does not change equal-time combat outcome,Not started,Proposed engineering task,,,,T068;T069;T070;T071;T072;T073;T074;T075;T076;T077;T078;T079;T080;T081;T082
N052,M5,Implement authoritative projectile flight,Gameplay,P1,M4,15,Sweeps cannot skip thin blockers; impacts commit once,Not started,Proposed engineering task,,,,T058;T059;T060;T061;T062;T063;T064;T065;T066;T067
N053,M5,Implement melee beam and area attack contracts,Gameplay,P1,M4,14,Damage schedule uses simulation time and per-target idempotency,Not started,Proposed engineering task,,,,T068;T069;T070;T071;T072;T073;T074;T075;T076;T077;T078;T079;T080;T081;T082
N055,M5,Build shot and action trace inspector,QA,P1,M4,20,One action is traceable from sampling through verdict and presentation,Not started,Proposed engineering task,,,,T102;T103;T104;T105;T106;T107;T108
N056,M6,Implement schema-generated field serialization,Runtime,P1,M3;M4,16,Stable IDs quantizers and compatibility vectors cover all replicated types,Not started,Proposed engineering task,S39,,https://raw.githubusercontent.com/id-Software/Quake-III-Arena/master/code/qcommon/msg.c,T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093
N058,M6,Implement baseline retirement and reset,Runtime,P1,M3;M4,16,Extend M2 full-state/reset-safe scopes with negotiated delta baseline retirement; no old-scope or old-representation baseline reuse,Not started,Proposed engineering task,,,,T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093
N066,M6,"Run 100-connection / 50,000-actor graph qualification",QA,P1,M3;M4,"17,21,22",Separate sparse dense dormant and wake scenarios report candidates memory bandwidth and CPU; results are not claimed Fortnite benchmarks,Not started,Proposed engineering task,S09,,https://dev.epicgames.com/documentation/en-us/unreal-engine/replication-graph-in-unreal-engine,T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T102;T103;T104;T105;T106;T107;T108;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N100,M6,Evaluate distance-frequency optimization and feasible-load fairness,Runtime,P1,M3;M4,"16,17","Record a measured enable/defer decision; if enabled, due-time node operates only on eligible sets and critical groups bypass optional frequency limits; overdue metrics expose overload",Not started,Derived library implementation of selected Epic Replication Graph basis,S57,,https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode_DynamicSpa-,T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N101,M6,Optimize shared lists and authorized payload reuse,Runtime,P1,M3;M4,"16,17",Candidate/codec savings measured; no connection-baseline private-field or encrypted-packet reuse,Not started,Derived library implementation of selected Epic Replication Graph basis,"S51,S61",,https://dev.epicgames.com/documentation/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode?lang=en-US ; https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/FGlobalActorReplicationInfo,T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N102,M6,Benchmark hotspot wake and teleport entry storms,QA,P1,M3;M4,"17,21,22",Finite entry progress deadlines and budgets; dense workload degrades explicitly without incomplete prediction,Not started,Derived library implementation of selected Epic Replication Graph basis,,,,T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T102;T103;T104;T105;T106;T107;T108;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N067,M7,Fuzz codecs and admission,QA,P0,M5;M6,"18,22",Malformed corpus cannot panic allocate unbounded memory or mutate authority,Not started,Proposed engineering task,,,,T094;T095;T096;T097;T098;T099;T100;T101
N068,M7,Test cross-platform determinism domain,QA,P0,M5;M6,"5,22",x86/ARM and selected client/server build combinations meet declared replay contract,Not started,Proposed engineering task,S49,,https://rapier.rs/docs/user_guides/rust/determinism/,
N069,M7,Implement reconnect recovery and old-epoch rejection,Runtime,P0,M5;M6,"15,18",New connection cannot replay old authority or duplicate terminal transactions,Not started,Proposed engineering task,,,,T058;T059;T060;T061;T062;T063;T064;T065;T066;T067;T094;T095;T096;T097;T098;T099;T100;T101
N070,M7,Implement server health and admission shedding,Runtime,P0,M5;M6,"8,20",Overloaded instance stops admitting matches and exposes tick debt,Not started,Proposed engineering task,,,,T102;T103;T104;T105;T106;T107;T108
N071,M7,Implement replay/trace privacy and retention,QA,P0,M5;M6,20,Sensitive data access restricted; production trace memory bounded,Not started,Proposed engineering task,,,,T102;T103;T104;T105;T106;T107;T108
N072,M7,Run full impairment matrix,QA,P0,M5;M6,22,Loss jitter asymmetry reorder bandwidth and stalls pass correctness gates,Not started,Proposed engineering task,,,,
N073,M7,Run 24-hour soak and resource audit,QA,P0,M5;M6,"17,22",24-hour scope-churn/dormancy/observer soak has bounded memory and correct counter retirement plus baseline and replay budgets,Not started,Proposed engineering task,,,,T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T109;T110;T112;T113;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N074,M7,Measure end-to-end response and correction quality,QA,P0,M5;M6,"21,22",Results include hardware render/display path percentiles and external-event separation,Not started,Proposed engineering task,S40,,https://www.riotgames.com/en/news/peeking-valorants-netcode,T102;T103;T104;T105;T106;T107;T108
N075,M7,Publish versioned SDK and release report,Lead,P0,M5;M6,"23,26",Server clients sample docs lockfiles trace tools and acceptance evidence packaged,Not started,Proposed engineering task,,,,
N103,M7,Fuzz observer scope dependency and disclosure boundaries,QA,P0,M5;M6,"17,18,22,27",Malformed/stale scopes invalid grants and policy races cannot leak fields resurrect replicas or exhaust work,Not started,Derived library implementation of selected Epic Replication Graph basis,,T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157,,T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T094;T095;T096;T097;T098;T099;T100;T101;T109;T110;T112;T113;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N104,M7,Qualify graph memory lifecycle and diagnostic privacy,QA,P0,M5;M6,"17,20,22",Long churn bounds all connection records histories route caches and pending control; private data stays server-only,Not started,Derived library implementation of selected Epic Replication Graph basis,,,,T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T102;T103;T104;T105;T106;T107;T108;T109;T110;T112;T113;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N076,M8,Add deterministic sub-tick actions,Gameplay,P2,M7,14,Segment durations sum to one tick; no extra movement or fire-rate budget,Not started,Proposed engineering task,S06,,https://www.counter-strike.net/cs2,T109;T110;T112;T113
N077,M8,Add dynamic prediction group merging,Gameplay,P2,M7,12,Merge/split produces coherent checkpoint and no cross-time writes,Not started,Proposed engineering task,S17,,https://docs.unity3d.com/Packages/com.unity.netcode@1.5/manual/prediction-details.html,T109;T110;T112;T113
N079,M8,Add bounded projectile catch-up,Gameplay,P2,M7,15,Historical sweeps validate every catch-up interval within work cap,Not started,Proposed engineering task,,,,
N081,M8,Add large-world streaming/origin support,Runtime,P2,M7,17,Scene/origin revisions cannot corrupt historical coordinates or prediction,Not started,Proposed engineering task,,,,T109;T110;T112;T113
N082,M8,Qualify browser and relay transport paths,Runtime,P2,M7,18,Platform-specific loss/ordering behavior measured; no unproven equivalence claim,Not started,Proposed engineering task,,,,
N105,M8,Add coarse or layered spatial nodes for new world envelopes,Runtime,P2,M7,"17,21",Oversized or vertically dense scenes get explicit alternate nodes with oracle equivalence and measured caps,Not started,Derived library implementation of selected Epic Replication Graph basis,S52,,https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode_GridSpatia-,T109;T110;T112;T113
